dataset,rows,cols,nnzs,merge-path,thread-mapped,group-mapped,minimum,elapsed,cusparse,speed-up,kernel,oracle-speed-up-kernel,oracle-speed-up
bips98_1450_iv,11305,1,1450,0.0187988,0.0129395,0.01024,0.01024,0.0129395,0.0649414,5.01884926,thread-mapped,group-mapped,6.341933594
bips98_606,7135,7135,34738,0.0209961,0.0119629,0.0256,0.0119629,0.0209961,0.0561523,2.674415725,merge-path,thread-mapped,4.693870215
bips98_606_B,7135,4,4,0.0170898,0.0100098,0.013312,0.0100098,0.0100098,0.0478516,4.780475134,group-mapped,thread-mapped,4.780475134
bips98_606_C,4,7135,20,0.0161133,0.0119629,0.013312,0.0119629,0.0119629,0.0410156,3.428566652,group-mapped,thread-mapped,3.428566652
bips98_606_E,7135,7135,606,0.019043,0.0100098,0.012288,0.0100098,0.0100098,0.052002,5.195108793,group-mapped,thread-mapped,5.195108793
bips98_606_iv,7135,1,606,0.0200195,0.0109863,0.012288,0.0109863,0.0109863,0.0429688,3.911125675,thread-mapped,thread-mapped,3.911125675
blckhole,2132,2132,14872,0.0200195,0.0119629,0.018432,0.0119629,0.0200195,0.0471191,2.353660181,merge-path,thread-mapped,3.938769028
blockqp1,60012,60012,640033,0.0290527,1.87207,8.56064,0.0290527,0.0290527,0.0639648,2.201681771,merge-path,merge-path,2.201681771
bloweya,30004,30004,150009,0.0219727,0.479004,0.315392,0.0219727,0.0219727,0.0529785,2.411105599,merge-path,merge-path,2.411105599
bloweybl,30003,30003,120000,0.0200195,0.470947,0.314368,0.0200195,0.0200195,0.0539551,2.695127251,merge-path,merge-path,2.695127251
bloweybq,10001,10001,69991,0.0200195,0.409912,0.346112,0.0200195,0.0200195,0.0500488,2.500002498,merge-path,merge-path,2.500002498
bmw3_2,227362,227362,11288630,0.157959,0.614014,0.464896,0.157959,0.157959,0.187012,1.183927475,merge-path,merge-path,1.183927475
bmw7st_1,141347,141347,7339667,0.12915,0.403809,0.374784,0.12915,0.12915,0.143066,1.107750678,merge-path,merge-path,1.107750678
bmwcra_1,148770,148770,10644002,0.145996,0.759033,0.366624,0.145996,0.145996,0.178955,1.22575276,merge-path,merge-path,1.22575276
bodyy4,17546,17546,121938,0.0219727,0.0141602,,0.0141602,0.0219727,0.052002,2.366664088,merge-path,thread-mapped,3.672405757
bodyy5,18589,18589,129281,0.0229492,0.0119629,,0.0119629,0.0229492,0.0549316,2.393617207,merge-path,thread-mapped,4.59182974
bodyy6,19366,19366,134748,0.0209961,0.0141602,,0.0141602,0.0209961,0.0529785,2.523254319,merge-path,thread-mapped,3.741366647
bone010,986703,986703,71666325,0.836914,5.53809,2.26099,0.836914,0.836914,0.853027,1.019252874,merge-path,merge-path,1.019252874
bone010_B,986703,1,1,0.0310059,0.027832,0.024576,0.024576,0.027832,0.0588379,2.114037798,group-mapped,group-mapped,2.39412028
bone010_C,3,986703,3,0.0151367,0.0119629,0.011264,0.011264,0.0119629,0.0410156,3.428566652,group-mapped,group-mapped,3.641299716
bone010_M,986703,986703,23888775,0.333008,1.07104,0.729056,0.333008,0.333008,0.36499,1.096039735,merge-path,merge-path,1.096039735
boneS01,127224,127224,6715152,0.12085,0.322998,0.224256,0.12085,0.12085,0.140137,1.159594539,merge-path,merge-path,1.159594539
boneS01_B,127224,1,1,0.0180664,0.0109863,0.011264,0.0109863,0.0109863,0.0500488,4.555564658,thread-mapped,thread-mapped,4.555564658
boneS01_C,3,127224,3,0.0151367,0.0100098,0.01024,0.0100098,0.0100098,0.0319824,3.195108793,thread-mapped,thread-mapped,3.195108793
boneS01_M,127224,127224,2238384,0.0610352,0.072998,0.085056,0.0610352,0.0610352,0.0917969,1.503999332,merge-path,merge-path,1.503999332
boneS10,914898,914898,55468422,0.659912,3.16797,1.54419,0.659912,0.659912,0.687012,1.041066082,merge-path,merge-path,1.041066082
boneS10_B,914898,1,1,0.0300293,0.0231934,0.022528,0.022528,0.0231934,0.0549316,2.368415153,group-mapped,group-mapped,2.438370028
boneS10_C,3,914898,3,0.0148926,0.0100098,0.012288,0.0100098,0.0100098,0.0439453,4.390227577,thread-mapped,thread-mapped,4.390227577
boneS10_M,914898,914898,18489474,0.272949,0.665039,0.551936,0.272949,0.272949,0.303223,1.110914493,merge-path,merge-path,1.110914493
boyd1,93279,93279,1211231,0.0400391,7.7771,33.4756,0.0400391,0.0400391,0.0710449,1.774388036,merge-path,merge-path,1.774388036
boyd2,466316,466316,1500397,0.0620117,7.50708,8.13875,0.0620117,0.0620117,0.0869141,1.401575832,merge-path,merge-path,1.401575832
bp_0,822,822,3276,0.0219727,0.0209961,0.026624,0.0209961,0.0209961,0.0480957,2.290696844,group-mapped,thread-mapped,2.290696844
bp_1000,822,822,4661,0.019043,0.0258789,0.026624,0.019043,0.0258789,0.052002,2.009436259,thread-mapped,merge-path,2.730767211
bp_1200,822,822,4726,0.0180664,0.0239258,0.026624,0.0180664,0.0239258,0.0478516,2,thread-mapped,merge-path,2.648651641
bp_1400,822,822,4790,0.0187988,0.0197754,0.026624,0.0187988,0.0197754,0.0500488,2.530861575,thread-mapped,merge-path,2.662340149
bp_1600,822,822,4841,0.019043,0.0239258,0.026624,0.019043,0.0239258,0.0510254,2.132651782,group-mapped,merge-path,2.679483275
bp_200,822,822,3802,0.019043,0.0229492,0.027648,0.019043,0.0229492,0.052002,2.265961341,thread-mapped,merge-path,2.730767211
bp_400,822,822,4028,0.019043,0.0229492,0.046048,0.019043,0.0229492,0.0461426,2.010640894,thread-mapped,merge-path,2.423074095
bp_600,822,822,4172,0.019043,0.0239258,0.026624,0.019043,0.0239258,0.0551758,2.306121425,thread-mapped,merge-path,2.897432127
bp_800,822,822,4534,0.019043,0.0229492,0.027648,0.019043,0.0229492,0.0432129,1.88298067,thread-mapped,merge-path,2.269227538
brack2,62631,62631,733118,0.0358887,0.0249023,,0.0249023,0.0358887,0.0639648,1.782310309,merge-path,thread-mapped,2.568630207
brainpc2,27607,27607,179395,0.0219727,0.593994,1.408,0.0219727,0.0219727,0.0551758,2.511106965,merge-path,merge-path,2.511106965
bratu3d,27792,27792,173796,0.0209961,0.0129395,0.022528,0.0129395,0.0209961,0.0539551,2.569767719,merge-path,thread-mapped,4.169797906
breasttissue_10NN,106,106,1412,0.0180664,0.0158691,,0.0158691,0.0158691,0.0419922,2.646161408,thread-mapped,thread-mapped,2.646161408
Bump_2911,2911419,2911419,127729899,1.51904,6.68506,,1.51904,1.51904,1.59009,1.046772962,merge-path,merge-path,1.046772962
bundle_adj,513351,513351,20208051,0.264893,1.94092,12.0781,0.264893,0.264893,0.288818,1.090319487,merge-path,merge-path,1.090319487
bundle1,10581,10581,770901,0.0351562,0.195068,1.74285,0.0351562,0.0351562,0.0629883,1.791669748,merge-path,merge-path,1.791669748
bwm200,200,200,796,0.0170898,0.0119629,0.016384,0.0119629,0.0119629,0.0400391,3.346939287,thread-mapped,thread-mapped,3.346939287
bwm2000,2000,2000,7996,0.0200195,0.0109863,0.017408,0.0109863,0.0109863,0.052002,4.733349717,thread-mapped,thread-mapped,4.733349717
c-18,2169,2169,15145,0.019043,0.0180664,0.057344,0.0180664,0.019043,0.0498047,2.61538098,merge-path,thread-mapped,2.756758402
c-19,2327,2327,21817,0.019043,0.0241699,0.061472,0.019043,0.019043,0.0510254,2.679483275,merge-path,merge-path,2.679483275
c-20,2921,2921,22685,0.019043,0.0209961,0.078848,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
c-21,3509,3509,32157,0.019043,0.0270996,0.082944,0.019043,0.019043,0.0500488,2.628199338,merge-path,merge-path,2.628199338
c-22,3792,3792,28872,0.0180664,0.0200195,0.09216,0.0180664,0.0180664,0.0561523,3.108106762,merge-path,merge-path,3.108106762
c-23,3969,3969,31079,0.0187988,0.0371094,0.236544,0.0187988,0.0187988,0.0490723,2.610395344,merge-path,merge-path,2.610395344
c-24,4119,4119,35699,0.0200195,0.0219727,0.121888,0.0200195,0.0200195,0.0529785,2.646344814,merge-path,merge-path,2.646344814
c-25,3797,3797,49635,0.0200195,0.0388184,0.113664,0.0200195,0.0200195,0.0500488,2.500002498,merge-path,merge-path,2.500002498
c-26,4307,4307,34537,0.0187988,0.0280762,0.082944,0.0187988,0.0187988,0.0510254,2.714290274,merge-path,merge-path,2.714290274
c-27,4563,4563,31375,0.0180664,0.026123,0.047104,0.0180664,0.0180664,0.0490723,2.716219059,merge-path,merge-path,2.716219059
c-28,4598,4598,30590,0.019043,0.0268555,0.044032,0.019043,0.019043,0.0490723,2.576920653,merge-path,merge-path,2.576920653
c-29,5033,5033,43731,0.019043,0.032959,0.119808,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
c-30,5321,5321,65693,0.0178223,0.106934,1.24723,0.0178223,0.0178223,0.0471191,2.643828238,merge-path,merge-path,2.643828238
c-31,5339,5339,78571,0.0209961,0.0319824,0.316416,0.0209961,0.0209961,0.0500488,2.383718881,merge-path,merge-path,2.383718881
c-32,5975,5975,54471,0.019043,0.103027,0.946176,0.019043,0.019043,0.0510254,2.679483275,merge-path,merge-path,2.679483275
c-33,6317,6317,56123,0.019043,0.0571289,0.583712,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
c-34,6611,6611,64333,0.0187988,0.0471191,0.115712,0.0187988,0.0187988,0.0510254,2.714290274,merge-path,merge-path,2.714290274
c-35,6537,6537,62891,0.0187988,0.0461426,0.221216,0.0187988,0.0187988,0.0539551,2.870135328,merge-path,merge-path,2.870135328
c-36,7479,7479,65941,0.0200195,0.0471191,0.32464,0.0200195,0.0200195,0.0500488,2.500002498,merge-path,merge-path,2.500002498
c-37,8204,8204,74676,0.0209961,0.0351562,0.093184,0.0209961,0.0209961,0.0541992,2.581393687,merge-path,merge-path,2.581393687
c-38,8127,8127,77689,0.019043,0.0441895,0.217088,0.019043,0.019043,0.0541992,2.846148191,merge-path,merge-path,2.846148191
c-39,9271,9271,136811,0.019043,0.0419922,0.442368,0.019043,0.019043,0.0529785,2.782045896,merge-path,merge-path,2.782045896
c-40,9941,9941,81501,0.0200195,0.0849609,0.613376,0.0200195,0.0200195,0.052002,2.597567372,merge-path,merge-path,2.597567372
c-41,9769,9769,101745,0.0200195,0.0490723,0.103456,0.0200195,0.0200195,0.052002,2.597567372,merge-path,merge-path,2.597567372
c-42,10471,10471,110285,0.0200195,0.0720215,0.447488,0.0200195,0.0200195,0.0529785,2.646344814,merge-path,merge-path,2.646344814
c-43,11125,11125,123675,0.0200195,0.122803,0.697344,0.0200195,0.0200195,0.0510254,2.548784935,merge-path,merge-path,2.548784935
c-44,10728,10728,85000,0.019043,0.0429688,0.136192,0.019043,0.019043,0.052002,2.730767211,merge-path,merge-path,2.730767211
c-45,13206,13206,174452,0.0209961,0.131836,4.78003,0.0209961,0.0209961,0.0529785,2.523254319,merge-path,merge-path,2.523254319
c-46,14913,14913,130397,0.0209961,0.103027,0.556064,0.0209961,0.0209961,0.0539551,2.569767719,merge-path,merge-path,2.569767719
c-47,15343,15343,211401,0.0219727,0.0981445,0.461824,0.0219727,0.0219727,0.0549316,2.499993173,merge-path,merge-path,2.499993173
c-48,18354,18354,166080,0.0212402,0.059082,0.22528,0.0212402,0.0212402,0.0539551,2.540235026,merge-path,merge-path,2.540235026
c-49,21132,21132,157042,0.0219727,0.0739746,0.08704,0.0219727,0.0219727,0.052002,2.366664088,merge-path,merge-path,2.366664088
c-50,22401,22401,193625,0.0231934,0.0859375,0.67584,0.0231934,0.0231934,0.0539551,2.326312658,merge-path,merge-path,2.326312658
c-51,23196,23196,203050,0.0229492,0.0842285,0.256032,0.0229492,0.0229492,0.0539551,2.351066704,merge-path,merge-path,2.351066704
c-52,23948,23948,202716,0.0222168,0.0830078,0.159744,0.0222168,0.0222168,0.052002,2.340661121,merge-path,merge-path,2.340661121
c-53,30235,30235,372213,0.0268555,0.265137,5.7088,0.0268555,0.0268555,0.0588379,2.190906891,merge-path,merge-path,2.190906891
c-54,31793,31793,391693,0.0249023,0.100098,0.504832,0.0249023,0.0249023,0.0620117,2.4901997,merge-path,merge-path,2.4901997
c-55,32780,32780,403450,0.0249023,0.145996,0.151552,0.0249023,0.0249023,0.0610352,2.450986455,merge-path,merge-path,2.450986455
c-56,35910,35910,380900,0.0251465,0.0678711,0.470016,0.0251465,0.0251465,0.0600586,2.388348279,merge-path,merge-path,2.388348279
c-57,37833,37833,405197,0.0258789,0.519775,3.18464,0.0258789,0.0258789,0.059082,2.283018212,merge-path,merge-path,2.283018212
c-58,37595,37595,552557,0.0270996,0.245117,0.264192,0.0270996,0.0270996,0.0629883,2.32432582,merge-path,merge-path,2.32432582
c-59,41282,41282,480536,0.0268555,0.144775,0.124928,0.0268555,0.0268555,0.060791,2.263633148,merge-path,merge-path,2.263633148
c-60,43640,43640,298578,0.0241699,0.106934,0.111616,0.0241699,0.0241699,0.059082,2.444445364,merge-path,merge-path,2.444445364
c-61,43618,43618,310016,0.0249023,0.136963,0.18432,0.0249023,0.0249023,0.0581055,2.333338688,merge-path,merge-path,2.333338688
c-62,41731,41731,559343,0.0290527,0.207031,0.366592,0.0290527,0.0290527,0.0620117,2.134455662,merge-path,merge-path,2.134455662
c-62ghs,41731,41731,559343,0.0280762,0.209961,0.342016,0.0280762,0.0280762,0.0598145,2.130434318,merge-path,merge-path,2.130434318
c-63,44234,44234,434704,0.026123,0.154053,0.423936,0.026123,0.026123,0.060791,2.327106381,merge-path,merge-path,2.327106381
c-64,51035,51035,717841,0.032959,0.655029,8.19302,0.032959,0.032959,0.0671387,2.037036925,merge-path,merge-path,2.037036925
c-64b,51035,51035,717841,0.0319824,0.697021,8.80746,0.0319824,0.0319824,0.0649414,2.030535545,merge-path,merge-path,2.030535545
c-65,48066,48066,360528,0.0239258,0.151855,0.10752,0.0239258,0.0239258,0.0598145,2.5,merge-path,merge-path,2.5
c-66,49989,49989,499007,0.0268555,0.253906,0.365568,0.0268555,0.0268555,0.059082,2.199996276,merge-path,merge-path,2.199996276
c-66b,49989,49989,499007,0.0270996,0.250977,0.26112,0.0270996,0.0270996,0.0629883,2.32432582,merge-path,merge-path,2.32432582
c-67,57975,57975,531935,0.0280762,0.139893,1.04755,0.0280762,0.0280762,0.0620117,2.208692772,merge-path,merge-path,2.208692772
c-67b,57975,57975,531935,0.0300293,0.140869,1.04858,0.0300293,0.0300293,0.0610352,2.032521571,merge-path,merge-path,2.032521571
c-68,64810,64810,566006,0.0280762,0.128906,0.140288,0.0280762,0.0280762,0.065918,2.347824848,merge-path,merge-path,2.347824848
c-69,67458,67458,623970,0.0310059,0.2229,0.334848,0.0310059,0.0310059,0.0600586,1.937005538,merge-path,merge-path,1.937005538
c-70,68924,68924,658986,0.0341797,0.178955,0.295936,0.0341797,0.0341797,0.0681152,1.992855408,merge-path,merge-path,1.992855408
c-71,76638,76638,859554,0.0380859,0.406982,0.268288,0.0380859,0.0380859,0.0708008,1.858976682,merge-path,merge-path,1.858976682
c-72,84064,84064,707558,0.0351562,0.278076,0.233472,0.0351562,0.0351562,0.0681152,1.937501778,merge-path,merge-path,1.937501778
c-73,169422,169422,1279274,0.045166,2.05981,4.95616,0.045166,0.045166,0.0791016,1.751352787,merge-path,merge-path,1.751352787
c-73b,169422,169422,1279274,0.0449219,2.26611,4.95411,0.0449219,0.0449219,0.0788574,1.755433319,merge-path,merge-path,1.755433319
c-big,345241,345241,2341011,0.0708008,1.32104,1.41824,0.0708008,0.0708008,0.0969238,1.368964757,merge-path,merge-path,1.368964757
c8_mat11,4562,5761,2462970,0.0529785,0.189941,0.968704,0.0529785,0.0529785,0.0908203,1.714285984,merge-path,merge-path,1.714285984
c8_mat11_I,4562,5761,2462970,0.0539551,0.199951,1.00864,0.0539551,0.0539551,0.092041,1.705881372,merge-path,merge-path,1.705881372
ca-AstroPh,18772,18772,396160,0.0290527,0.032959,0.096288,0.0290527,0.0290527,0.0549316,1.890757141,merge-path,merge-path,1.890757141
ca-CondMat,23133,23133,186936,0.0229492,0.0258789,0.054272,0.0229492,0.0229492,0.0571289,2.489363464,merge-path,merge-path,2.489363464
ca-GrQc,5242,5242,28980,0.019043,0.0151367,0.021504,0.0151367,0.019043,0.0490723,2.576920653,merge-path,thread-mapped,3.241941771
ca-HepPh,12008,12008,237010,0.0239258,0.0349121,,0.0239258,0.0239258,0.0551758,2.306121425,merge-path,merge-path,2.306121425
ca-HepTh,9877,9877,51971,0.0187988,0.013916,0.02048,0.013916,0.0187988,0.052002,2.766240398,merge-path,thread-mapped,3.736849669
ca2010,710145,710145,3489366,0.124023,0.123779,0.141312,0.123779,0.124023,0.145996,1.177168751,merge-path,thread-mapped,1.179489251
CAG_mat1916,1916,1916,195985,0.0209961,0.032959,0.19456,0.0209961,0.0209961,0.0480957,2.290696844,merge-path,merge-path,2.290696844
CAG_mat364,364,364,13585,0.0187988,0.0170898,0.053248,0.0170898,0.0187988,0.0471191,2.506495095,merge-path,thread-mapped,2.757147538
CAG_mat72,72,72,1012,0.0178223,0.0119629,0.026624,0.0119629,0.0119629,0.0419922,3.510202376,group-mapped,thread-mapped,3.510202376
cage,366,366,5124,0.019043,0.0158691,,0.0158691,0.0158691,0.0480957,3.030776793,thread-mapped,thread-mapped,3.030776793
cage_G_01,10,10,30,0.0151367,0.012207,,0.012207,0.012207,0.0371094,3.04000983,group-mapped,thread-mapped,3.04000983
cage_G_02,14,14,42,0.0151367,0.0100098,,0.0100098,0.0100098,0.0429688,4.29267318,group-mapped,thread-mapped,4.29267318
cage_G_03,24,24,72,0.0158691,0.0100098,,0.0100098,0.0100098,0.0400391,3.99999001,thread-mapped,thread-mapped,3.99999001
cage_G_04,30,30,90,0.0158691,0.0100098,,0.0100098,0.0100098,0.0410156,4.097544406,thread-mapped,thread-mapped,4.097544406
cage_G_05,58,58,174,0.0161133,0.0109863,,0.0109863,0.0109863,0.0400391,3.644457188,thread-mapped,thread-mapped,3.644457188
cage_G_06,58,58,174,0.0158691,0.0100098,,0.0100098,0.0100098,0.0390625,3.902425623,thread-mapped,thread-mapped,3.902425623
cage_G_07,58,58,174,0.0170898,0.0109863,,0.0109863,0.0109863,0.0371094,3.3777887,thread-mapped,thread-mapped,3.3777887
cage_G_08,58,58,174,0.0148926,0.0100098,,0.0100098,0.0100098,0.0390625,3.902425623,thread-mapped,thread-mapped,3.902425623
cage_G_09,58,58,174,0.0158691,0.0109863,,0.0109863,0.0109863,0.0380859,3.466672128,thread-mapped,thread-mapped,3.466672128
cage_G_10,58,58,174,0.0151367,0.0109863,,0.0109863,0.0109863,0.0419922,3.822233145,thread-mapped,thread-mapped,3.822233145
cage_G_11,58,58,174,0.0161133,0.0100098,,0.0100098,0.0100098,0.0449219,4.487791964,thread-mapped,thread-mapped,4.487791964
cage_G_12,58,58,174,0.0158691,0.0100098,,0.0100098,0.0100098,0.0429688,4.29267318,group-mapped,thread-mapped,4.29267318
cage_G_13,58,58,174,0.0170898,0.0100098,,0.0100098,0.0100098,0.0432129,4.317059282,group-mapped,thread-mapped,4.317059282
cage_G_14,58,58,174,0.0158691,0.0100098,,0.0100098,0.0100098,0.0410156,4.097544406,thread-mapped,thread-mapped,4.097544406
cage_G_15,58,58,174,0.0151367,0.0100098,,0.0100098,0.0100098,0.0429688,4.29267318,thread-mapped,thread-mapped,4.29267318
cage_G_16,58,58,174,0.0170898,0.0151367,,0.0151367,0.0151367,0.0397949,2.62903407,thread-mapped,thread-mapped,2.62903407
cage_G_17,58,58,174,0.0161133,0.0119629,,0.0119629,0.0119629,0.0390625,3.265303564,thread-mapped,thread-mapped,3.265303564
cage_G_18,58,58,174,0.0148926,0.0109863,,0.0109863,0.0109863,0.0419922,3.822233145,thread-mapped,thread-mapped,3.822233145
cage_G_19,58,58,174,0.0158691,0.0109863,,0.0109863,0.0109863,0.0410156,3.733340615,thread-mapped,thread-mapped,3.733340615
cage_G_20,58,58,174,0.0158691,0.0109863,,0.0109863,0.0109863,0.0400391,3.644457188,thread-mapped,thread-mapped,3.644457188
cage_G_21,58,58,174,0.0148926,0.0109863,,0.0109863,0.0109863,0.0419922,3.822233145,group-mapped,thread-mapped,3.822233145
cage_G_22,58,58,174,0.0148926,0.0109863,,0.0109863,0.0109863,0.0410156,3.733340615,thread-mapped,thread-mapped,3.733340615
cage_G_23,70,70,210,0.0158691,0.0100098,,0.0100098,0.0100098,0.0371094,3.707306839,thread-mapped,thread-mapped,3.707306839
cage_G_24,70,70,210,0.0148926,0.0100098,,0.0100098,0.0100098,0.0371094,3.707306839,thread-mapped,thread-mapped,3.707306839
cage_G_25,70,70,210,0.0151367,0.0109863,,0.0109863,0.0109863,0.0380859,3.466672128,thread-mapped,thread-mapped,3.466672128
cage_G_26,112,112,336,0.0148926,0.0100098,,0.0100098,0.0100098,0.0410156,4.097544406,thread-mapped,thread-mapped,4.097544406
cage_G_27,126,126,378,0.0151367,0.0100098,,0.0100098,0.0100098,0.0419922,4.195108793,thread-mapped,thread-mapped,4.195108793
cage_G_28,272,272,816,0.019043,0.0119629,,0.0119629,0.0119629,0.0441895,3.693878575,thread-mapped,thread-mapped,3.693878575
cage_G_29,406,406,1218,0.0209961,0.0109863,,0.0109863,0.0109863,0.046875,4.266677589,group-mapped,thread-mapped,4.266677589
cage_G_30,620,620,1860,0.0249023,0.0112305,,0.0112305,0.0112305,0.0610352,5.434771382,thread-mapped,thread-mapped,5.434771382
cage_G_31,19,19,76,0.0148926,0.0109863,,0.0109863,0.0109863,0.0410156,3.733340615,thread-mapped,thread-mapped,3.733340615
cage_G_32,26,26,104,0.0161133,0.0109863,,0.0109863,0.0109863,0.0407715,3.711122034,thread-mapped,thread-mapped,3.711122034
cage_G_33,76,76,304,0.0148926,0.0109863,,0.0109863,0.0109863,0.0410156,3.733340615,thread-mapped,thread-mapped,3.733340615
cage_G_34,80,80,320,0.0151367,0.0109863,,0.0109863,0.0109863,0.0400391,3.644457188,thread-mapped,thread-mapped,3.644457188
cage_G_35,30,30,150,0.0151367,0.0109863,,0.0109863,0.0109863,0.0390625,3.555564658,thread-mapped,thread-mapped,3.555564658
cage_G_36,42,42,210,0.0151367,0.0109863,,0.0109863,0.0109863,0.0380859,3.466672128,thread-mapped,thread-mapped,3.466672128
cage_G_37,62,62,372,0.0148926,0.0109863,,0.0109863,0.0109863,0.0380859,3.466672128,thread-mapped,thread-mapped,3.466672128
cage_G_38,50,50,350,0.0158691,0.0109863,,0.0109863,0.0109863,0.0419922,3.822233145,group-mapped,thread-mapped,3.822233145
cage_G_39,94,94,752,0.0151367,0.0109863,,0.0109863,0.0109863,0.0400391,3.644457188,thread-mapped,thread-mapped,3.644457188
cage_G_40,114,114,912,0.019043,0.0119629,,0.0119629,0.0119629,0.0410156,3.428566652,thread-mapped,thread-mapped,3.428566652
cage_G_41,118,118,1062,0.019043,0.0100098,,0.0100098,0.0100098,0.0400391,3.99999001,thread-mapped,thread-mapped,3.99999001
cage_G_42,146,146,1314,0.019043,0.0100098,,0.0100098,0.0100098,0.0400391,3.99999001,group-mapped,thread-mapped,3.99999001
cage_G_43,182,182,1820,0.0219727,0.013916,,0.013916,0.013916,0.0439453,3.157897384,thread-mapped,thread-mapped,3.157897384
cage_G_44,266,266,3192,0.0200195,0.012207,,0.012207,0.012207,0.0490723,4.020013107,thread-mapped,thread-mapped,4.020013107
cage_G_45,366,366,5124,0.019043,0.0119629,,0.0119629,0.0119629,0.0478516,4,group-mapped,thread-mapped,4
cage10,11397,11397,150645,0.0209961,0.0129395,0.031744,0.0129395,0.0209961,0.0529785,2.523254319,merge-path,thread-mapped,4.094323583
cage11,39082,39082,559722,0.0280762,0.0170898,0.055296,0.0170898,0.0280762,0.0600586,2.139128515,merge-path,thread-mapped,3.514295077
cage12,130228,130228,2032536,0.0559082,0.0759277,0.095232,0.0559082,0.0559082,0.0830078,1.484716017,merge-path,merge-path,1.484716017
cage13,445315,445315,7479343,0.160156,0.285156,0.286688,0.160156,0.160156,0.162842,1.016771148,merge-path,merge-path,1.016771148
cage14,1505785,1505785,27130349,0.406006,1.07007,1.06906,0.406006,0.406006,0.436035,1.073961961,merge-path,merge-path,1.073961961
cage15,5154859,5154859,99199551,1.46191,4.11304,3.68845,1.46191,1.46191,1.43018,0.9782955175,merge-path,merge-path,0.9782955175
cage3,5,5,19,0.013916,0.0119629,0.0112,0.0112,0.0119629,0.0400391,3.346939287,thread-mapped,group-mapped,3.574919643
cage4,9,9,49,0.013916,0.0109863,0.01232,0.0109863,0.0109863,0.0400391,3.644457188,group-mapped,thread-mapped,3.644457188
cage5,37,37,233,0.0151367,0.013916,0.016384,0.013916,0.013916,0.0432129,3.105267318,thread-mapped,thread-mapped,3.105267318
cage6,93,93,785,0.0158691,0.0109863,0.018432,0.0109863,0.0109863,0.0378418,3.444453547,thread-mapped,thread-mapped,3.444453547
cage7,340,340,3084,0.019043,0.0129395,0.022528,0.0129395,0.0129395,0.0510254,3.943382665,group-mapped,thread-mapped,3.943382665
cage8,1015,1015,11003,0.019043,0.0119629,0.0256,0.0119629,0.019043,0.0510254,2.679483275,merge-path,thread-mapped,4.265303564
cage9,3534,3534,41594,0.019043,0.013916,0.028704,0.013916,0.019043,0.052002,2.730767211,merge-path,thread-mapped,3.736849669
caidaRouterLevel,192244,192244,1218132,0.0529785,0.113037,0.124928,0.0529785,0.0529785,0.0898438,1.695853979,merge-path,merge-path,1.695853979
California,9664,9664,16150,0.019043,0.0200195,0.018432,0.018432,0.019043,0.0510254,2.679483275,merge-path,group-mapped,2.768305122
can_1054,1054,1054,12196,0.0187988,0.0141602,0.03072,0.0141602,0.0187988,0.0480957,2.55844522,merge-path,thread-mapped,3.396541009
can_1072,1072,1072,12444,0.0180664,0.0129395,0.033824,0.0129395,0.0180664,0.045166,2.5,merge-path,thread-mapped,3.490552185
can_144,144,144,1296,0.0180664,0.0109863,0.02048,0.0109863,0.0109863,0.0397949,3.622229504,group-mapped,thread-mapped,3.622229504
can_161,161,161,1377,0.0187988,0.012207,0.018432,0.012207,0.012207,0.0429688,3.520013107,group-mapped,thread-mapped,3.520013107
can_187,187,187,1491,0.0187988,0.0119629,0.018432,0.0119629,0.0119629,0.0419922,3.510202376,thread-mapped,thread-mapped,3.510202376
can_229,229,229,1777,0.0180664,0.0119629,0.02048,0.0119629,0.0119629,0.0439453,3.673465464,thread-mapped,thread-mapped,3.673465464
can_24,24,24,160,0.0148926,0.012207,0.014336,0.012207,0.012207,0.0419922,3.44000983,thread-mapped,thread-mapped,3.44000983
can_256,256,256,2916,0.0200195,0.0148926,0.027648,0.0148926,0.0148926,0.0471191,3.163927051,group-mapped,thread-mapped,3.163927051
can_268,268,268,3082,0.0180664,0.013916,0.026624,0.013916,0.013916,0.0410156,2.947369934,thread-mapped,thread-mapped,2.947369934
can_292,292,292,2540,0.0187988,0.0119629,0.023552,0.0119629,0.0119629,0.0449219,3.755101188,thread-mapped,thread-mapped,3.755101188
can_445,445,445,3809,0.0187988,0.0129395,0.02048,0.0129395,0.0129395,0.0471191,3.641493103,group-mapped,thread-mapped,3.641493103
can_61,61,61,557,0.0151367,0.0119629,0.021504,0.0119629,0.0119629,0.0429688,3.591838099,group-mapped,thread-mapped,3.591838099
can_62,62,62,218,0.0151367,0.0109863,0.013344,0.0109863,0.0109863,0.0400391,3.644457188,thread-mapped,thread-mapped,3.644457188
can_634,634,634,7228,0.019043,0.0119629,0.024576,0.0119629,0.0119629,0.0549316,4.59182974,thread-mapped,thread-mapped,4.59182974
can_715,715,715,6665,0.019043,0.0148926,0.027648,0.0148926,0.0148926,0.046875,3.14753636,group-mapped,thread-mapped,3.14753636
can_73,73,73,377,0.0148926,0.0109863,0.01536,0.0109863,0.0109863,0.045166,4.111120213,thread-mapped,thread-mapped,4.111120213
