dataset,rows,cols,nnzs,merge-path,thread-mapped,group-mapped,minimum,elapsed,cusparse,speed-up,kernel,oracle-speed-up-kernel,oracle-speed-up
ABACUS_shell_md_c,1,23412,1,0.0151367,0.0109863,0.011264,0.0109863,0.0109863,0.0339355,3.08889253,thread-mapped,thread-mapped,3.08889253
ABACUS_shell_md_E,23412,23412,19216,0.019043,0.0119629,0.019456,0.0119629,0.019043,0.0629883,3.307687864,merge-path,thread-mapped,5.265303564
ABACUS_shell_md_K,23412,23412,216082,0.0219727,0.0131836,0.028672,0.0131836,0.0219727,0.0529785,2.411105599,merge-path,thread-mapped,4.018515428
ABACUS_shell_md_M,23412,23412,206474,0.0241699,0.0129395,0.026624,0.0129395,0.0241699,0.052002,2.151519038,merge-path,thread-mapped,4.018856988
ABACUS_shell_md_Mzeros,23412,23412,12010,0.019043,0.0119629,0.01536,0.0119629,0.019043,0.0617676,3.24358557,merge-path,thread-mapped,5.163263088
ABACUS_shell_ud,23412,23412,218484,0.0229492,0.0119629,0.029696,0.0119629,0.0229492,0.0551758,2.404258101,merge-path,thread-mapped,4.612242851
ABACUS_shell_ud_b,23412,1,1,0.019043,0.0100098,0.01536,0.0100098,0.0100098,0.0390625,3.902425623,group-mapped,thread-mapped,3.902425623
ABACUS_shell_ud_c,1,23412,1,0.0158691,0.0109863,0.013312,0.0109863,0.0109863,0.0371094,3.3777887,thread-mapped,thread-mapped,3.3777887
ABACUS_shell_ud_K,23412,23412,216082,0.0219727,0.0161133,0.03072,0.0161133,0.0219727,0.0571289,2.599994539,merge-path,thread-mapped,3.545450032
ABACUS_shell_ud_M,23412,23412,206474,0.0229492,0.0170898,0.026592,0.0170898,0.0229492,0.0561523,2.446808603,merge-path,thread-mapped,3.285720137
abb313,313,176,1557,0.0187988,0.012207,0.016384,0.012207,0.012207,0.0488281,4.000008192,group-mapped,thread-mapped,4.000008192
abtaha1,14596,209,51307,0.0209961,0.0129395,0.01536,0.0129395,0.0209961,0.0500488,2.383718881,merge-path,thread-mapped,3.867908343
abtaha2,37932,331,137228,0.0219727,0.0129395,0.017408,0.0129395,0.0219727,0.0539551,2.455551662,merge-path,thread-mapped,4.169797906
ACTIVSg10K,20000,20000,137736,0.0209961,0.0148926,0.021504,0.0148926,0.0209961,0.0578613,2.755811794,merge-path,thread-mapped,3.885238306
ACTIVSg2000,4000,4000,29336,0.019043,0.0168457,0.019456,0.0168457,0.019043,0.052002,2.730767211,merge-path,thread-mapped,3.086959877
ACTIVSg70K,69999,69999,238627,0.0241699,0.013916,0.023552,0.013916,0.0241699,0.0600586,2.484850992,merge-path,thread-mapped,4.315794769
adaptive,6815744,6815744,27248640,0.667236,0.595947,0.90624,0.595947,0.667236,0.726074,1.088181693,merge-path,thread-mapped,1.21835331
add20,2395,2395,17319,0.0178223,0.0170898,,0.0170898,0.0178223,0.0500488,2.808212184,merge-path,thread-mapped,2.92857728
add32,4960,4960,23884,0.0180664,0.0141602,,0.0141602,0.0180664,0.0551758,3.054056148,merge-path,thread-mapped,3.896541009
adder_dcop_01,1813,1813,11156,0.019043,0.0629883,0.095232,0.019043,0.019043,0.0529785,2.782045896,merge-path,merge-path,2.782045896
adder_dcop_02,1813,1813,11246,0.0180664,0.0649414,0.0512,0.0180664,0.0180664,0.0529785,2.932432582,merge-path,merge-path,2.932432582
adder_dcop_03,1813,1813,11148,0.0187988,0.0629883,0.054272,0.0187988,0.0187988,0.0471191,2.506495095,merge-path,merge-path,2.506495095
adder_dcop_04,1813,1813,11107,0.0178223,0.0639648,0.0512,0.0178223,0.0178223,0.0529785,2.97259613,merge-path,merge-path,2.97259613
adder_dcop_05,1813,1813,11097,0.0180664,0.0639648,0.054272,0.0180664,0.0180664,0.0539551,2.98648873,merge-path,merge-path,2.98648873
adder_dcop_06,1813,1813,11224,0.019043,0.0639648,0.0512,0.019043,0.019043,0.0510254,2.679483275,merge-path,merge-path,2.679483275
adder_dcop_07,1813,1813,11226,0.019043,0.0639648,0.0512,0.019043,0.019043,0.0517578,2.717943601,merge-path,merge-path,2.717943601
