kernel,dataset,rows,cols,nnzs,elapsed
group-mapped,ch7-6-b5,5040,15120,30240,0.017408
group-mapped,mk12-b2,13860,1485,41580,0.014336
group-mapped,n4c6-b14,920,6300,13800,0.024576
group-mapped,shar_te2-b2,200200,17160,600600,0.029696
group-mapped,ch3-3-b1,18,9,36,0.012288
group-mapped,ch6-6-b1,450,36,900,0.012288
group-mapped,cis-n4c6-b15,60,920,960,0.0256
group-mapped,ch7-7-b5,35280,52920,211680,0.023552
group-mapped,n3c6-b3,1365,455,5460,0.014336
group-mapped,ch7-8-b4,141120,58800,705600,0.032768
group-mapped,n3c6-b9,2511,4935,25110,0.021504
group-mapped,ch4-4-b3,24,96,96,0.012288
group-mapped,n4c6-b2,1330,210,3990,0.016384
group-mapped,n4c6-b8,198895,163215,1790055,0.070656
group-mapped,n3c4-b4,6,15,30,0.01024
group-mapped,n4c5-b11,10,120,120,0.012288
group-mapped,n4c6-b5,51813,20058,310878,0.023552
group-mapped,n3c4-b3,15,20,60,0.01024
group-mapped,n3c6-b4,3003,1365,15015,0.014336
group-mapped,cis-n4c6-b1,210,21,420,0.011264
group-mapped,ch7-8-b3,58800,11760,235200,0.02048
group-mapped,n3c6-b11,60,675,720,0.021504
group-mapped,mk11-b2,6930,990,20790,0.01328
group-mapped,ch7-7-b2,7350,882,22050,0.014336
group-mapped,mk13-b5,135135,270270,810810,0.03584
group-mapped,mk12-b5,10395,62370,62370,0.017408
group-mapped,n4c6-b13,6300,25605,88200,0.027648
group-mapped,D6-6_T,7,7,7,0.01024
group-mapped,D6-6,120576,23740,146880,0.017408
group-mapped,ch8-8-b5,564480,376320,3386880,0.09728
group-mapped,ch7-6-b2,4200,630,12600,0.013312
group-mapped,mk10-b2,3150,630,9450,0.012288
group-mapped,n4c5-b8,1895,3635,17055,0.019456
group-mapped,n4c5-b2,455,105,1365,0.018432
group-mapped,ch7-9-b3,105840,17640,423360,0.024576
group-mapped,n3c5-b3,210,120,840,0.013312
group-mapped,mk9-b2,1260,378,3780,0.014336
group-mapped,n4c6-b11,69235,132402,830820,0.043008
group-mapped,n2c6-b8,1470,3990,13230,0.021504
group-mapped,n2c6-b2,455,105,1365,0.014304
group-mapped,n3c5-b1,45,10,90,0.013312
group-mapped,klein-b1,30,10,60,0.012288
group-mapped,ch7-9-b1,1512,63,3024,0.012288
group-mapped,n3c6-b6,6435,5005,45045,0.018432
group-mapped,cis-n4c6-b3,5970,1330,23880,0.01536
group-mapped,ch7-8-b1,1176,56,2352,0.014336
group-mapped,ch5-5-b2,600,200,1800,0.013312
group-mapped,n4c6-b7,163215,104115,1305720,0.050176
group-mapped,n3c4-b1,15,6,30,0.01024
group-mapped,ch6-6-b4,4320,5400,21600,0.01536
group-mapped,ch6-6-b3,5400,2400,21600,0.013312
group-mapped,ch4-4-b1,72,16,144,0.01024
group-mapped,cis-n4c6-b4,20058,5970,100290,0.016384
group-mapped,n3c6-b1,105,105,210,0.023552
group-mapped,n4c5-b7,3635,4735,29080,0.018432
group-mapped,n3c5-b6,120,210,840,0.018432
group-mapped,n2c6-b5,4945,3003,29670,0.017408
group-mapped,mk12-b4,62370,51975,311850,0.022528
group-mapped,n4c6-b12,25605,69235,332865,0.037888
group-mapped,mk10-b3,4725,3150,18900,0.014336
group-mapped,ch8-8-b4,376320,117600,1881600,0.060416
group-mapped,ch7-6-b3,12600,4200,50400,0.014336
group-mapped,mk9-b1,378,36,756,0.013312
group-mapped,n4c5-b3,1350,455,5400,0.013312
group-mapped,ch7-9-b2,17640,1512,52920,0.014336
group-mapped,klein-b2,20,30,60,0.011264
group-mapped,n4c5-b9,630,1895,6300,0.02048
group-mapped,n2c6-b1,105,15,210,0.012288
group-mapped,n3c5-b2,120,45,360,0.013312
group-mapped,n3c4-b2,20,15,60,0.011264
group-mapped,n4c6-b4,20058,5970,100290,0.01536
group-mapped,n4c5-b10,120,630,1320,0.022528
group-mapped,ch5-5-b1,200,25,400,0.012288
group-mapped,ch7-8-b2,11760,1176,35280,0.013312
group-mapped,n3c6-b5,5005,3003,30030,0.017408
group-mapped,mk11-b3,17325,6930,69300,0.014336
group-mapped,cis-n4c6-b13,6300,25605,88200,0.026624
group-mapped,n3c6-b10,675,2511,7425,0.021504
group-mapped,mk11-b4b,9450,17325,47250,0.017408
group-mapped,mk11-b4,10395,17325,51975,0.016384
group-mapped,cis-n4c6-b14,920,6300,13800,0.024576
group-mapped,n3c6-b8,4935,6435,44415,0.018432
group-mapped,ch7-8-b5,141120,141120,846720,0.039936
group-mapped,n3c6-b2,455,105,1365,0.012288
group-mapped,n4c6-b9,186558,198895,1865580,0.074752
group-mapped,n4c6-b3,5970,1330,23880,0.016384
group-mapped,ch4-4-b2,96,72,288,0.012288
group-mapped,n3c5-b5,210,252,1260,0.01536
group-mapped,n2c6-b6,5715,4945,40005,0.017408
group-mapped,ch7-9-b5,423360,317520,2540160,0.077824
group-mapped,n4c5-b4,2852,1350,14260,0.01536
group-mapped,mk10-b4,945,4725,4725,0.01536
group-mapped,n2c6-b10,30,306,330,0.019456
group-mapped,ch8-8-b3,117600,18816,470400,0.023552
group-mapped,ch7-6-b4,15120,12600,75600,0.01536
group-mapped,shar_te2-b3,200200,200200,800800,0.034816
group-mapped,mk12-b3,51975,13860,207900,0.019456
group-mapped,n4c6-b15,60,920,960,0.024576
group-mapped,eurqsa,7245,7245,46142,0.04608
group-mapped,eurqsa_b,0,0,0,0.007168
group-mapped,Ill_Stokes_b,0,0,0,0.00512
group-mapped,Ill_Stokes,20896,20896,191368,0.031744
group-mapped,EternityII_A,7362,150638,782087,0.960512
group-mapped,EternityII_A_b,7362,1,358,0.01024
group-mapped,EternityII_E_b,11077,1,513,0.009216
group-mapped,EternityII_E,11077,262144,1503732,3.4816
group-mapped,EternityII_Etilde_b,10054,1,512,0.011264
group-mapped,EternityII_Etilde,10054,204304,1170516,1.16941
group-mapped,barth,6691,6691,26439,0.018432
group-mapped,nasa4704,4704,4704,104756,0.038912
group-mapped,nasa1824,1824,1824,39208,0.06656
group-mapped,shuttle_eddy,10429,10429,103599,0.045056
group-mapped,skirt,12598,12598,196520,0.041984
group-mapped,barth5,15606,15606,61484,0.01536
group-mapped,nasa2910,2910,2910,174296,0.176096
group-mapped,pwt,36519,36519,326107,0.034816
group-mapped,nasasrb,54870,54870,2677324,0.152576
group-mapped,nasasrb_b,0,0,0,0.007168
group-mapped,barth4,6019,6019,23492,0.014336
group-mapped,nasa2146,2146,2146,72250,0.041984
group-mapped,nasa2146_b,0,0,0,0.007168
group-mapped,nd3k,9000,9000,3279690,0.553984
group-mapped,nd24k,72000,72000,28715634,1.18272
group-mapped,nd12k,36000,36000,14220946,0.8192
group-mapped,nd6k,18000,18000,6897316,0.594912
group-mapped,Kemelmacher,28452,9693,100875,0.016384
group-mapped,mixtank_new,29957,29957,1995041,0.190464
group-mapped,invextr1_new,30412,30412,1793881,0.249856
group-mapped,circuit204,1020,1020,5883,0.06656
group-mapped,nemeth01,9506,9506,725054,0.1024
group-mapped,nemeth20,9506,9506,971870,0.133152
group-mapped,nemeth18,9506,9506,695234,0.098304
group-mapped,nemeth12,9506,9506,446818,0.065536
group-mapped,nemeth15,9506,9506,539802,0.079872
group-mapped,nemeth06,9506,9506,394808,0.059392
group-mapped,nemeth08,9506,9506,394816,0.060416
group-mapped,nemeth02,9506,9506,394808,0.060416
group-mapped,nemeth23,9506,9506,1506810,0.195584
group-mapped,nemeth11,9506,9506,408264,0.06144
group-mapped,nemeth16,9506,9506,587012,0.086016
group-mapped,nemeth24,9506,9506,1506550,0.198656
group-mapped,nemeth05,9506,9506,394808,0.060416
group-mapped,nemeth07,9506,9506,394812,0.06144
group-mapped,nemeth14,9506,9506,496144,0.073728
group-mapped,nemeth26,9506,9506,1511760,0.19968
group-mapped,nemeth21,9506,9506,1173746,0.155648
group-mapped,nemeth13,9506,9506,474472,0.070656
group-mapped,nemeth19,9506,9506,818302,0.114688
group-mapped,nemeth04,9506,9506,394808,0.060416
group-mapped,nemeth17,9506,9506,629620,0.090144
group-mapped,nemeth25,9506,9506,1511758,0.195584
group-mapped,nemeth22,9506,9506,1358832,0.177152
group-mapped,nemeth10,9506,9506,401448,0.06144
group-mapped,nemeth03,9506,9506,394808,0.060416
group-mapped,nemeth09,9506,9506,395506,0.062464
group-mapped,big,13209,13209,91465,0.019456
group-mapped,nopoly,10774,10774,70842,0.019456
group-mapped,pesa,11738,11738,79566,0.019456
group-mapped,SiNa,5743,5743,198787,0.116736
group-mapped,Ga41As41H72,268096,268096,18488476,0.930816
group-mapped,SiO2,155331,155331,11283503,1.82374
group-mapped,Si87H76,240369,240369,10661631,0.534528
group-mapped,Si10H16,17077,17077,875923,0.190496
group-mapped,Ga10As10H30,113081,113081,6115633,0.51712
group-mapped,Ge87H76,112985,112985,7892195,0.503808
group-mapped,Si34H36,97569,97569,5156379,0.360448
group-mapped,Ga19As19H42,133123,133123,8884839,0.545792
group-mapped,Ga3As3H12,61349,61349,5970947,0.620544
group-mapped,Ge99H100,112985,112985,8451395,0.521216
group-mapped,SiO,33401,33401,1317655,0.218112
group-mapped,Si2,769,769,17801,0.043008
group-mapped,SiH4,5041,5041,171903,0.106496
group-mapped,H2O,67024,67024,2216736,0.110592
group-mapped,benzene,8219,8219,242669,0.056288
group-mapped,CO,221119,221119,7666057,0.361472
group-mapped,GaAsH6,61349,61349,3381809,0.51712
group-mapped,Si41Ge41H72,185639,185639,15011265,0.884736
group-mapped,Si5H12,19896,19896,738598,0.13312
group-mapped,Na5,5832,5832,305630,0.14848
group-mapped,iChem_Jacobian_b,274087,1,2337,0.014336
group-mapped,bundle1,10581,10581,770901,1.74285
group-mapped,coupled,11341,11341,98523,0.123872
group-mapped,Lin,256000,256000,1766400,0.062464
group-mapped,coater1,1348,1348,19457,0.028672
group-mapped,coater2,9540,9540,207308,0.041984
group-mapped,s1rmt3m1,5489,5489,219521,0.06144
group-mapped,s1rmt3m1_coord,0,0,0,0.006144
group-mapped,s3rmt3m1,5489,5489,219521,0.06144
group-mapped,s3rmt3m1_coord,0,0,0,0.007168
group-mapped,s2rmt3m1,5489,5489,219521,0.059392
group-mapped,s2rmt3m1_coord,0,0,0,0.007168
group-mapped,s3rmq4m1,5489,5489,281111,0.072704
group-mapped,s3rmq4m1_coord,0,0,0,0.006144
group-mapped,s2rmq4m1,5489,5489,281111,0.074752
group-mapped,s2rmq4m1_coord,0,0,0,0.007168
group-mapped,s3rmt3m3,5357,5357,207695,0.064512
group-mapped,s3rmt3m3_coord,0,0,0,0.007168
group-mapped,s1rmq4m1,5489,5489,281111,0.072704
group-mapped,s1rmq4m1_coord,0,0,0,0.007168
group-mapped,cage8,1015,1015,11003,0.0256
group-mapped,cage5,37,37,233,0.016384
group-mapped,cage11,39082,39082,559722,0.055296
group-mapped,cage15,5154859,5154859,99199551,3.68845
group-mapped,cage12,130228,130228,2032536,0.095232
group-mapped,cage6,93,93,785,0.018432
group-mapped,cage4,9,9,49,0.01232
group-mapped,cage10,11397,11397,150645,0.031744
group-mapped,cage9,3534,3534,41594,0.028704
group-mapped,cage3,5,5,19,0.0112
group-mapped,cage13,445315,445315,7479343,0.286688
group-mapped,cage7,340,340,3084,0.022528
group-mapped,cage14,1505785,1505785,27130349,1.06906
group-mapped,pcrystk02,13965,13965,968583,0.11776
group-mapped,ct20stif,52329,52329,2698463,0.206848
group-mapped,msc01050,1050,1050,29156,0.074752
group-mapped,crystk03,24696,24696,1751178,0.125952
group-mapped,bcsstk37,25503,25503,1140977,0.1024
group-mapped,msc00726,726,726,34518,0.063488
group-mapped,crystm02,13965,13965,322905,0.048128
group-mapped,bcsstm36,23052,23052,320606,0.049152
group-mapped,nasa2910,2910,2910,174296,0.099328
group-mapped,bcsstm38,8032,8032,10485,0.017408
group-mapped,pwtk,217918,217918,11634424,0.438272
group-mapped,bcsstk34,588,588,21418,0.047104
group-mapped,bcsstk39,46772,46772,2089294,0.119808
group-mapped,crystm01,4875,4875,105339,0.03584
