kernel,dataset,rows,cols,nnzs,elapsed
cusparse,belgium_osm,1441295,1441295,3099940,0.1521
cusparse,t60k,60005,60005,178880,0.0639648
cusparse,wing,62032,62032,243088,0.0610352
cusparse,tn2010,240116,240116,1193966,0.0810547
cusparse,vsp_sctap1-2b_and_seymourl,40174,40174,281662,0.0581055
cusparse,ar2010,186211,186211,904310,0.0788574
cusparse,delaunay_n16,65536,65536,393150,0.0649414
cusparse,hugetric-00000,5824554,5824554,17467046,0.569092
cusparse,333SP,3712815,3712815,22217266,0.71582
cusparse,auto,448695,448695,6629222,0.191162
cusparse,netherlands_osm,2216688,2216688,4882476,0.198975
cusparse,hugetrace-00010,12057441,12057441,36164358,1.4751
cusparse,la2010,204447,204447,980634,0.0788574
cusparse,fl2010,484481,484481,2346294,0.112061
cusparse,kron_g500-logn16,65536,65536,4912469,0.151123
cusparse,rgg_n_2_15_s0,32768,32768,320480,0.0610352
cusparse,delaunay_n24,16777216,16777216,100663202,1.98389
cusparse,coPapersCiteseer,434102,434102,32073440,0.407959
cusparse,ut2010,115406,115406,572066,0.0708008
cusparse,sc2010,181908,181908,893160,0.0800781
cusparse,kron_g500-logn18,262144,262144,21165908,0.464844
cusparse,ia2010,216007,216007,1021170,0.0788574
cusparse,ms2010,171778,171778,839980,0.0788574
cusparse,europe_osm,50912018,50912018,108109320,3.50708
cusparse,nm2010,168609,168609,830970,0.0720215
cusparse,nj2010,169588,169588,829912,0.0791016
cusparse,wv2010,135218,135218,662922,0.0749512
cusparse,sd2010,88360,88360,410722,0.0588379
cusparse,mt2010,132288,132288,638668,0.0698242
cusparse,nd2010,133769,133769,625946,0.0710449
cusparse,fe_rotor,99617,99617,1324862,0.0820312
cusparse,nc2010,288987,288987,1416620,0.0898438
cusparse,uk,4824,4824,13674,0.0507812
cusparse,ma2010,157508,157508,776610,0.0791016
cusparse,delaunay_n20,1048576,1048576,6291372,0.180176
cusparse,mo2010,343565,343565,1656568,0.0910645
cusparse,pa2010,421545,421545,2058462,0.100098
cusparse,kron_g500-logn20,1048576,1048576,89239674,1.88281
cusparse,nv2010,84538,84538,416998,0.0629883
cusparse,germany_osm,11548845,11548845,24738362,0.895996
cusparse,delaunay_n18,262144,262144,1572792,0.0881348
cusparse,fe_tooth,78136,78136,905182,0.0698242
cusparse,delaunay_n12,4096,4096,24528,0.0561523
cusparse,delaunay_n15,32768,32768,196548,0.0568848
cusparse,598a,110971,110971,1483868,0.0949707
cusparse,venturiLevel3,4026819,4026819,16108474,0.383057
cusparse,wing_nodal,10937,10937,150976,0.0549316
cusparse,G_n_pin_pout,100000,100000,1002396,0.0769043
cusparse,hi2010,25016,25016,124126,0.0668945
cusparse,hugebubbles-00020,21198119,21198119,63580358,4.74707
cusparse,luxembourg_osm,114599,114599,239332,0.060791
cusparse,az2010,241666,241666,1196094,0.0878906
cusparse,hugetric-00010,6592765,6592765,19771708,1.05298
cusparse,ky2010,161672,161672,787778,0.072998
cusparse,ok2010,269118,269118,1274148,0.0849609
